CustomerID,Age,Gender,AnnualIncome,SpendingScore,Region,PreferredChannel,TenureYears,WebsiteVisits,PurchasesLastYear
CUST00000,39,Female,91039,12,East,Phone Call,12,10,8
CUST00001,33,Female,58531,11,West,Phone Call,8,10,0
CUST00002,41,Male,40551,54,South,Phone Call,12,15,6
CUST00003,50,Male,55218,83,West,Phone Call,14,8,4
CUST00004,32,Male,76709,70,West,Phone Call,1,5,7
CUST00005,32,Female,77443,14,West,Phone Call,13,14,9
CUST00006,50,Female,41369,33,East,SMS,12,4,9
CUST00007,42,Male,53797,77,East,Email,7,13,2
CUST00008,30,Female,28560,26,North,Social Media,6,11,1
CUST00009,40,Male,62370,14,West,SMS,6,10,2
CUST00010,30,Male,73300,88,East,SMS,2,8,8
CUST00011,30,Female,50596,48,East,Social Media,9,14,9
CUST00012,37,Female,39989,65,North,SMS,11,13,2
CUST00013,15,Female,55401,46,South,Phone Call,1,8,9
CUST00014,17,Female,56261,55,South,SMS,10,15,7
CUST00015,29,Male,51217,94,West,Social Media,13,11,3
CUST00016,24,Female,52680,74,South,Email,9,10,8
CUST00017,38,Female,47392,74,North,Social Media,0,13,9
CUST00018,25,Female,64939,92,East,Email,12,11,4
CUST00019,20,Female,61043,68,South,Phone Call,0,6,3
CUST00020,49,Male,35253,78,West,SMS,6,12,7
CUST00021,32,Male,34841,12,West,Social Media,8,6,5
CUST00022,35,Female,46184,54,East,Social Media,14,14,4
CUST00023,20,Female,61052,64,West,Email,0,8,2
CUST00024,29,Male,52220,47,North,SMS,14,9,5
CUST00025,36,Male,40352,37,South,Social Media,9,9,3
CUST00026,23,Female,53922,74,West,Social Media,3,11,4
CUST00027,38,Male,45037,41,South,SMS,14,9,9
CUST00028,28,Male,63207,27,East,Phone Call,13,10,5
CUST00029,32,Male,54995,42,South,Email,12,16,5
CUST00030,28,Male,45270,76,North,Social Media,1,7,8
CUST00031,53,Female,53472,86,East,SMS,13,10,9
CUST00032,34,Male,69725,68,West,Phone Call,7,8,4
CUST00033,24,Male,41455,29,East,Social Media,8,8,6
CUST00034,43,Female,56039,36,South,Phone Call,2,13,6
CUST00035,22,Female,48943,57,South,Social Media,2,12,4
CUST00036,37,Female,56404,78,South,Social Media,6,12,9
CUST00037,15,Male,40181,12,South,Phone Call,8,12,4
CUST00038,21,Female,51655,45,East,Email,6,11,2
CUST00039,36,Male,66617,20,East,Phone Call,11,11,4
CUST00040,42,Female,35944,45,South,SMS,13,7,2
CUST00041,36,Male,30058,23,West,Social Media,12,10,3
CUST00042,33,Female,30628,62,East,Phone Call,6,9,0
CUST00043,31,Female,32440,86,North,Phone Call,13,8,8
CUST00044,20,Male,58929,34,East,Social Media,1,10,12
CUST00045,27,Female,28912,21,North,Social Media,11,14,3
CUST00046,30,Female,45531,51,West,Phone Call,10,10,2
CUST00047,45,Female,59274,9,North,Email,0,15,5
CUST00048,38,Female,56249,74,North,Social Media,1,11,0
CUST00049,17,Female,44216,10,West,Phone Call,11,6,4
CUST00050,38,Male,52863,52,South,SMS,5,10,4
CUST00051,31,Male,51607,45,East,Email,11,10,5
CUST00052,28,Female,46636,52,West,SMS,11,12,5
CUST00053,41,Female,46837,30,North,Social Media,13,10,8
CUST00054,45,Male,83531,64,South,Social Media,9,10,4
CUST00055,44,Male,62139,97,East,Email,14,12,5
CUST00056,26,Female,87209,2,West,Social Media,12,8,7
CUST00057,31,Male,42545,49,East,SMS,7,6,4
CUST00058,38,Female,48725,96,South,Phone Call,7,10,9
CUST00059,44,Female,30018,45,East,Phone Call,5,8,6
CUST00060,30,Female,37856,17,South,SMS,1,12,4
CUST00061,33,Female,78528,28,West,SMS,13,6,5
CUST00062,23,Male,42169,45,South,Social Media,8,10,7
CUST00063,23,Male,78789,17,West,Social Media,9,9,7
CUST00064,43,Male,31349,59,South,Email,3,11,9
CUST00065,48,Female,34197,14,East,Phone Call,12,8,5
CUST00066,34,Male,44881,10,South,Email,4,10,6
CUST00067,45,Female,49043,98,South,SMS,0,7,4
CUST00068,38,Female,63846,78,East,SMS,8,10,5
CUST00069,28,Male,56761,81,North,Email,10,13,7
CUST00070,38,Female,43755,86,South,Email,10,8,3
CUST00071,50,Female,48000,18,West,Phone Call,10,9,0
CUST00072,34,Female,45214,35,South,SMS,9,13,4
CUST00073,50,Male,36280,48,North,Email,12,10,2
CUST00074,8,Female,36680,58,West,Phone Call,0,11,3
CUST00075,43,Male,65418,18,East,Social Media,6,8,4
CUST00076,35,Female,22577,52,East,Social Media,10,13,4
CUST00077,32,Male,74260,30,East,Phone Call,8,9,3
CUST00078,35,Female,44855,37,West,Email,2,8,4
CUST00079,15,Male,38412,40,South,Phone Call,1,11,5
CUST00080,32,Male,61096,6,West,Phone Call,13,8,5
CUST00081,38,Female,72278,79,West,Email,9,10,3
CUST00082,49,Female,66764,35,North,Social Media,7,13,5
CUST00083,29,Female,57527,26,West,Phone Call,3,13,3
CUST00084,26,Female,66302,91,East,Social Media,0,8,2
CUST00085,29,Male,24252,30,West,Phone Call,7,7,6
CUST00086,44,Female,42172,75,North,SMS,14,12,5
CUST00087,38,Male,36332,24,West,Email,5,10,9
CUST00088,29,Female,68369,55,West,Social Media,5,9,4
CUST00089,40,Male,44247,78,East,Email,3,14,8
CUST00090,35,Male,62681,87,West,Social Media,5,9,7
CUST00091,44,Male,58037,9,South,Social Media,1,7,8
CUST00092,27,Female,37065,62,East,Email,5,18,3
CUST00093,31,Female,41195,18,North,Phone Call,14,5,5
CUST00094,31,Male,69407,51,North,Phone Call,1,8,7
CUST00095,20,Male,38367,19,North,SMS,5,4,6
CUST00096,37,Male,51873,69,West,Social Media,13,9,5
CUST00097,37,Male,38261,82,South,Email,8,14,5
CUST00098,35,Male,45290,33,East,Social Media,6,11,2
CUST00099,32,Female,49307,38,South,Phone Call,11,6,6
CUST00100,20,Male,38257,13,South,Email,13,9,7
CUST00101,30,Female,35593,49,North,Email,14,12,1
CUST00102,31,Female,54294,73,North,Social Media,13,13,6
CUST00103,26,Female,37328,90,South,SMS,11,9,2
CUST00104,33,Male,37840,53,South,Phone Call,3,13,5
CUST00105,39,Male,35914,1,East,Phone Call,0,11,5
CUST00106,53,Male,48831,12,North,Social Media,8,13,8
CUST00107,36,Male,64155,24,North,Social Media,0,12,3
CUST00108,37,Female,72597,1,West,SMS,4,6,5
CUST00109,34,Female,39111,68,North,Phone Call,13,8,6
CUST00110,15,Female,82254,7,East,SMS,6,13,6
CUST00111,34,Male,34929,92,West,Email,9,12,3
CUST00112,35,Male,66253,69,East,Email,12,11,5
CUST00113,59,Male,39174,39,North,SMS,12,6,7
CUST00114,33,Male,36936,32,North,SMS,9,8,4
CUST00115,38,Male,38828,49,South,Social Media,5,8,7
CUST00116,34,Male,49213,31,South,Phone Call,2,16,4
CUST00117,23,Female,58699,79,East,Phone Call,10,14,7
CUST00118,46,Female,60048,3,West,Phone Call,7,7,5
